display  I           wgl_disp.c:222  display_pixel_format             [   0.33227] Depth buffer: 24 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.33228] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.33229] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.33231] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33232] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.33233] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.33234] Decoding visual no. 19...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.33241] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.33243] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.33244] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.33245] Swap method: copy
display  I           wgl_disp.c:216  display_pixel_format             [   0.33247] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.33248] Depth buffer: 24 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.33249] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.33250] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.33252] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33253] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.33254] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.33255] Decoding visual no. 20...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.33262] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.33264] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.33265] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.33266] Swap method: copy
display  I           wgl_disp.c:216  display_pixel_format             [   0.33267] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.33268] Depth buffer: 24 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.33270] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.33271] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.33272] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33274] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.33275] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.33276] Decoding visual no. 21...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.33283] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.33284] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.33285] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.33286] Swap method: copy
display  I           wgl_disp.c:216  display_pixel_format             [   0.33288] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.33289] Depth buffer: 0 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.33290] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.33291] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.33292] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33294] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.33295] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.33296] Decoding visual no. 22...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.33303] Decoding:
